Years BP,CO2 (ppmv),Temp Anom Interp,CH4 Interp
35.60700403999999,300.7000886560916,103.5,882.7700426979413
37.484859689999894,301.29772622272134,103.5,880.7211232607686
38.71498595999992,299.25727749401767,103.51163386347403,879.3789382931542
38.90461155999992,297.7268153632511,103.5228086354711,879.1720386959325
39.284149150000076,298.10624698316605,103.54517505663242,878.7579270227114
40.23523068999998,297.86910679162327,103.60122297083872,877.7202064430481
41.47609211000008,301.50413540464433,103.67434782027075,876.3663084039332
44.225799999999936,299.62686294971274,103.83639006946753,873.3661151024045
44.45643668999992,297.32821856127947,103.84998165427943,873.1144684984356
44.64919585999996,299.0235966178361,103.86134108979391,872.9041498777757
46.09347466000008,295.9913578166476,103.94645347066547,871.3283040953713
48.298125289999916,295.6106368299745,104.1053232976693,868.9228201978301
